Entry	Entry name	Protein names	Gene names  (primary )	Status
A7ZRT8	UPPP_ECO24	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	reviewed
A7ZP71	ARNB_ECO24	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	reviewed
A7ZP74	ARND_ECO24	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	reviewed
A7ZP72	ARNC_ECO24	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	reviewed
A7ZP73	ARNA_ECO24	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	reviewed
A7ZTR5	MDTL_ECO24	Multidrug resistance protein MdtL	mdtL	reviewed
A7ZKF6	MDTG_ECO24	Multidrug resistance protein MdtG	mdtG	reviewed
A7ZKH0	MDTH_ECO24	Multidrug resistance protein MdtH	mdtH	reviewed
A7ZV23	A7ZV23_ECO24	Beta-lactamase (EC 3.5.2.6)	ampC	unreviewed
A7ZSS1	A7ZSS1_ECO24	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)	mrcA	unreviewed
A7ZH20	A7ZH20_ECO24	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95)		unreviewed
A7ZLY7	A7ZLY7_ECO24	Multiple antibiotic resistance protein MarA	marA	unreviewed
A7ZJD7	A7ZJD7_ECO24	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
A7ZLY6	A7ZLY6_ECO24	Multiple antibiotic resistance protein MarR	marR	unreviewed
A7ZLY8	A7ZLY8_ECO24	Multiple antibiotic resistance protein MarB	marB	unreviewed
