Entry	Entry name	Protein names	Gene names  (primary )	Status
A0A7U2WCG7	A0A7U2WCG7_ECOLX	Macrolide ABC transporter ATP-binding protein/permease MacB	macB	unreviewed
A0A7U2ZAN3	A0A7U2ZAN3_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
A0A7U2W5N8	A0A7U2W5N8_ECOLX	Multiple antibiotic resistance protein MarB	marB	unreviewed
A0A7U2Z938	A0A7U2Z938_ECOLX	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
A0A7U2WCR8	A0A7U2WCR8_ECOLX	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
A0A7U2W8F9	A0A7U2W8F9_ECOLX	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	unreviewed
A0A7U2Z9U6	A0A7U2Z9U6_ECOLX	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
A0A7U2ZAR0	A0A7U2ZAR0_ECOLX	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)	mrcA	unreviewed
A0A7U2Z7S0	A0A7U2Z7S0_ECOLX	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
A0A7U2W9R5	A0A7U2W9R5_ECOLX	Multidrug resistance protein MdtL	mdtL	unreviewed
A0A7U2ZC30	A0A7U2ZC30_ECOLX	MacB family efflux pump subunit	macB	unreviewed
A0A7U2W4Y2	A0A7U2W4Y2_ECOLX	Multidrug resistance protein MdtG	mdtG	unreviewed
A0A7U2W5M8	A0A7U2W5M8_ECOLX	Multiple antibiotic resistance transcriptional regulator MarR	marR	unreviewed
A0A7U2Z8V6	A0A7U2Z8V6_ECOLX	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
A0A7U2Z8S6	A0A7U2Z8S6_ECOLX	Multidrug resistance protein MdtH	mdtH	unreviewed
