Entry	Entry name	Protein names	Gene names  (primary )	Status
L3C7E9	L3C7E9_ECOLX	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
L3C6C8	L3C6C8_ECOLX	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
L3C689	L3C689_ECOLX	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
L3CDF5	L3CDF5_ECOLX	Multidrug resistance protein MdtH	mdtH	unreviewed
L3BPM2	L3BPM2_ECOLX	Macrolide export ATP-binding/permease MacB		unreviewed
L3C1H7	L3C1H7_ECOLX	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)		unreviewed
L3CDK4	L3CDK4_ECOLX	Multidrug resistance protein MdtG	mdtG	unreviewed
L3BKE9	L3BKE9_ECOLX	Multiple antibiotic resistance protein marA		unreviewed
L3BIB5	L3BIB5_ECOLX	Multiple antibiotic resistance protein marR		unreviewed
L3BYC1	L3BYC1_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
L3BZY9	L3BZY9_ECOLX	Multidrug resistance protein MdtL	mdtL	unreviewed
L3C852	L3C852_ECOLX	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
L3BI95	L3BI95_ECOLX	Multiple antibiotic resistance protein MarB		unreviewed
L3BR59	L3BR59_ECOLX	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
L3C434	L3C434_ECOLX	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	unreviewed
