Entry	Entry name	Protein names	Gene names  (primary )	Status
S1IIL9	S1IIL9_ECOLX	Multidrug resistance protein MdtL	mdtL	unreviewed
S1IPG9	S1IPG9_ECOLX	Multidrug resistance protein MdtG	mdtG	unreviewed
S1IFQ3	S1IFQ3_ECOLX	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
S1IA16	S1IA16_ECOLX	Multiple antibiotic resistance protein marR		unreviewed
S1J013	S1J013_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
S1HSA0	S1HSA0_ECOLX	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
S1HT31	S1HT31_ECOLX	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
S1HXR3	S1HXR3_ECOLX	Multiple antibiotic resistance protein MarB		unreviewed
S1IFH4	S1IFH4_ECOLX	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
S1IQN5	S1IQN5_ECOLX	Macrolide export ATP-binding/permease MacB		unreviewed
S1JD24	S1JD24_ECOLX	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	unreviewed
S1I4I0	S1I4I0_ECOLX	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
S1IKJ2	S1IKJ2_ECOLX	Multiple antibiotic resistance protein marA		unreviewed
S1IN24	S1IN24_ECOLX	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)		unreviewed
S1IDQ3	S1IDQ3_ECOLX	Multidrug resistance protein MdtH	mdtH	unreviewed
