Entry	Entry name	Protein names	Gene names  (primary )	Status
B7UIW5	UPPP_ECO27	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	reviewed
B7UFR8	ARND_ECO27	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	reviewed
B7UFR5	ARNB_ECO27	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	reviewed
B7UFR6	ARNC_ECO27	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	reviewed
B7UFR7	ARNA_ECO27	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	reviewed
B7UMH7	MDTL_ECO27	Multidrug resistance protein MdtL	mdtL	reviewed
B7UP67	MDTG_ECO27	Multidrug resistance protein MdtG	mdtG	reviewed
B7UP79	MDTH_ECO27	Multidrug resistance protein MdtH	mdtH	reviewed
B7URQ6	B7URQ6_ECO27	DNA-binding transcriptional repressor of multiple antibiotic resistance	marR	unreviewed
B7URQ7	B7URQ7_ECO27	DNA-binding transcriptional dual activator of multiple antibiotic resistance	marA	unreviewed
B7UPX2	B7UPX2_ECO27	Beta-lactamase (EC 3.5.2.6)	ampC	unreviewed
B7UTM3	B7UTM3_ECO27	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95)	strA	unreviewed
B7UMX1	B7UMX1_ECO27	Fused macrolide transporter subunits of ABC superfamily: ATP-binding component/membrane component	macB	unreviewed
B7UKA0	B7UKA0_ECO27	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)	mrcA	unreviewed
B7ULN5	B7ULN5_ECO27	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	ybhT	unreviewed
