Entry	Entry name	Protein names	Gene names  (primary )	Status
V0Y7B6	V0Y7B6_ECOLX	Beta-lactamase (EC 3.5.2.6) (Fragment)		unreviewed
V0YN69	V0YN69_ECOLX	Multidrug resistance protein MdtG	mdtG	unreviewed
V0X9D2	V0X9D2_ECOLX	Multiple antibiotic resistance protein MarA		unreviewed
V0YJ26	V0YJ26_ECOLX	MFS domain-containing protein (Fragment)		unreviewed
V0Y230	V0Y230_ECOLX	Multidrug resistance protein MdtH	mdtH	unreviewed
V0XZM0	V0XZM0_ECOLX	Macrolide export ATP-binding/permease protein MacB		unreviewed
V0XF66	V0XF66_ECOLX	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)		unreviewed
V0YM76	V0YM76_ECOLX	Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81)		unreviewed
V0XS31	V0XS31_ECOLX	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	unreviewed
V0Y3L9	V0Y3L9_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
V0XRK5	V0XRK5_ECOLX	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
V0XX01	V0XX01_ECOLX	Aminoglycoside/hydroxyurea antibiotic resistance kinase		unreviewed
V0Z4U2	V0Z4U2_ECOLX	Transcriptional regulator, TetR family (Fragment)		unreviewed
V0XUS2	V0XUS2_ECOLX	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
V0XY68	V0XY68_ECOLX	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
V0Y0S5	V0Y0S5_ECOLX	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) (Fragment)		unreviewed
V0XLX7	V0XLX7_ECOLX	Multidrug resistance protein MdtL	mdtL	unreviewed
V0XXS0	V0XXS0_ECOLX	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
V0XQX4	V0XQX4_ECOLX	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
V0XC65	V0XC65_ECOLX	Multiple antibiotic resistance protein MarR		unreviewed
V0YC62	V0YC62_ECOLX	Beta-lactamase (EC 3.5.2.6) (Fragment)		unreviewed
V0X586	V0X586_ECOLX	Putative multiple antibiotic resistance protein MarB		unreviewed
