Entry	Entry name	Protein names	Gene names  (primary )	Status
L3QB45	L3QB45_ECOLX	Macrolide export ATP-binding/permease MacB		unreviewed
L3Q597	L3Q597_ECOLX	Multiple antibiotic resistance protein marA		unreviewed
L3PZF5	L3PZF5_ECOLX	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)		unreviewed
L3Q3I7	L3Q3I7_ECOLX	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
L3QA32	L3QA32_ECOLX	Multidrug resistance protein MdtH	mdtH	unreviewed
L3PUR6	L3PUR6_ECOLX	Multidrug resistance protein MdtL	mdtL	unreviewed
L3Q2R3	L3Q2R3_ECOLX	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
L3QAS4	L3QAS4_ECOLX	Multidrug resistance protein MdtG	mdtG	unreviewed
L3PR91	L3PR91_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
L3QAT2	L3QAT2_ECOLX	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
L3Q7L9	L3Q7L9_ECOLX	Multiple antibiotic resistance protein MarB		unreviewed
L3Q0G3	L3Q0G3_ECOLX	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	unreviewed
L3Q536	L3Q536_ECOLX	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
L3Q708	L3Q708_ECOLX	Multiple antibiotic resistance protein marR		unreviewed
L3Q4E4	L3Q4E4_ECOLX	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
