Entry	Entry name	Protein names	Gene names  (primary )	Status
A0A1X3KIR3	A0A1X3KIR3_ECOLX	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
A0A1X3KMU6	A0A1X3KMU6_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
A0A1X3K4T5	A0A1X3K4T5_ECOLX	Multidrug resistance protein MdtL	mdtL	unreviewed
A0A1X3KDE9	A0A1X3KDE9_ECOLX	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
A0A1X3K6S4	A0A1X3K6S4_ECOLX	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	unreviewed
A0A1X3K501	A0A1X3K501_ECOLX	Tetracycline repressor protein class A		unreviewed
A0A1X3K521	A0A1X3K521_ECOLX	Tetracycline resistance protein, class A (TetA(A))		unreviewed
A0A1X3KB19	A0A1X3KB19_ECOLX	Multiple antibiotic resistance protein MarA		unreviewed
A0A1X3KFY1	A0A1X3KFY1_ECOLX	Multidrug resistance protein MdtH	mdtH	unreviewed
A0A1X3KDJ9	A0A1X3KDJ9_ECOLX	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
A0A1X3K2Z1	A0A1X3K2Z1_ECOLX	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)		unreviewed
A0A1X3KFW6	A0A1X3KFW6_ECOLX	Multidrug resistance protein MdtG	mdtG	unreviewed
A0A1X3KDF0	A0A1X3KDF0_ECOLX	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
A0A1X3KCD8	A0A1X3KCD8_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
A0A1X3K4R7	A0A1X3K4R7_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
A0A1X3KDW3	A0A1X3KDW3_ECOLX	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
A0A1X3KJ73	A0A1X3KJ73_ECOLX	Macrolide export ATP-binding/permease protein MacB 1		unreviewed
A0A1X3KAS0	A0A1X3KAS0_ECOLX	Multiple antibiotic resistance protein MarR		unreviewed
A0A1X3K4F9	A0A1X3K4F9_ECOLX	Macrolide export ATP-binding/permease protein MacB 2		unreviewed
