Entry	Entry name	Protein names	Gene names  (primary )	Status
D8A5L1	D8A5L1_ECOMS	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
D8ACK4	D8ACK4_ECOMS	Beta-lactamase (EC 3.5.2.6)		unreviewed
D8A5L0	D8A5L0_ECOMS	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
D8A5L3	D8A5L3_ECOMS	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
D8AE56	D8AE56_ECOMS	Putative multiple antibiotic resistance protein MarB		unreviewed
D8ADD4	D8ADD4_ECOMS	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
D8AA99	D8AA99_ECOMS	Multidrug resistance protein MdtG	mdtG	unreviewed
D8AE58	D8AE58_ECOMS	Multiple antibiotic resistance protein MarR	marR	unreviewed
D8A5L2	D8A5L2_ECOMS	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
D8A789	D8A789_ECOMS	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	unreviewed
D8AFK5	D8AFK5_ECOMS	Beta-lactamase (EC 3.5.2.6) (Fragment)		unreviewed
D8AG75	D8AG75_ECOMS	Multidrug resistance protein MdtL	mdtL	unreviewed
D8AE57	D8AE57_ECOMS	Multiple antibiotic resistance protein MarA	marA	unreviewed
D8AAB2	D8AAB2_ECOMS	Multidrug resistance protein MdtH	mdtH	unreviewed
D8A6V5	D8A6V5_ECOMS	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)		unreviewed
D8A2P8	D8A2P8_ECOMS	ABC transporter, ATP-binding protein		unreviewed
