Entry	Entry name	Protein names	Gene names  (primary )	Status
A0A7U9NY11	A0A7U9NY11_ECOLX	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)		unreviewed
A0A7U9IY58	A0A7U9IY58_ECOLX	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
A0A7U9ITE7	A0A7U9ITE7_ECOLX	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95)		unreviewed
A0A7U9NZD5	A0A7U9NZD5_ECOLX	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
A0A7U9NZV5	A0A7U9NZV5_ECOLX	Multiple antibiotic resistance protein MarB		unreviewed
A0A7U9IU31	A0A7U9IU31_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
A0A7U9P1T9	A0A7U9P1T9_ECOLX	Macrolide export ATP-binding/permease MacB		unreviewed
A0A7U9NZ92	A0A7U9NZ92_ECOLX	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
A0A7U9J294	A0A7U9J294_ECOLX	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
A0A7U9ITT1	A0A7U9ITT1_ECOLX	Tetracycline resistance protein, class B		unreviewed
A0A7U9IZE5	A0A7U9IZE5_ECOLX	Multiple antibiotic resistance protein marA		unreviewed
A0A7U9IWB7	A0A7U9IWB7_ECOLX	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	unreviewed
A0A7U9IZR6	A0A7U9IZR6_ECOLX	Multidrug resistance protein MdtH	mdtH	unreviewed
A0A7U9ITM3	A0A7U9ITM3_ECOLX	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95)		unreviewed
A0A7U9ITP0	A0A7U9ITP0_ECOLX	Tetracycline repressor protein class B transposon Tn10		unreviewed
A0A7U9P099	A0A7U9P099_ECOLX	Multiple antibiotic resistance protein marR		unreviewed
A0A7U9P0T9	A0A7U9P0T9_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
A0A7U9NZP5	A0A7U9NZP5_ECOLX	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
A0A7U9IZW3	A0A7U9IZW3_ECOLX	Multidrug resistance protein MdtG	mdtG	unreviewed
A0A7U9IUR2	A0A7U9IUR2_ECOLX	Multidrug resistance protein MdtL	mdtL	unreviewed
