Entry	Entry name	Protein names	Gene names  (primary )	Status
V0SDC7	V0SDC7_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
V0SHG5	V0SHG5_ECOLX	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
V0SHS4	V0SHS4_ECOLX	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
V0SSS7	V0SSS7_ECOLX	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	unreviewed
V0T1N8	V0T1N8_ECOLX	Multidrug resistance protein MdtL	mdtL	unreviewed
V0SUI7	V0SUI7_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
V0SJZ5	V0SJZ5_ECOLX	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
V0T912	V0T912_ECOLX	Macrolide export ATP-binding/permease protein MacB		unreviewed
V0SVQ5	V0SVQ5_ECOLX	Transporter, major facilitator family protein		unreviewed
V0SY29	V0SY29_ECOLX	Putative multiple antibiotic resistance protein MarB		unreviewed
V0SIF8	V0SIF8_ECOLX	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)		unreviewed
V0T0F0	V0T0F0_ECOLX	Multiple antibiotic resistance protein MarA		unreviewed
V0SLF4	V0SLF4_ECOLX	Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81)		unreviewed
V0TLQ1	V0TLQ1_ECOLX	Transcriptional regulator, TetR family		unreviewed
V0SZN5	V0SZN5_ECOLX	Multiple antibiotic resistance protein MarR		unreviewed
V0SV59	V0SV59_ECOLX	Multidrug resistance protein MdtG	mdtG	unreviewed
V0SKP9	V0SKP9_ECOLX	Aminoglycoside/hydroxyurea antibiotic resistance kinase		unreviewed
V0T686	V0T686_ECOLX	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95)		unreviewed
V0SJ13	V0SJ13_ECOLX	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
V0SDZ5	V0SDZ5_ECOLX	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
V0T159	V0T159_ECOLX	Multidrug resistance protein MdtH	mdtH	unreviewed
