Entry	Entry name	Protein names	Gene names  (primary )	Status
A0A0H3PPQ0	A0A0H3PPQ0_ECO5C	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
A0A0H3PLI3	A0A0H3PLI3_ECO5C	Multiple antibiotic resistance protein MarR	marR	unreviewed
A0A0H3PQ64	A0A0H3PQ64_ECO5C	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
A0A0H3PT27	A0A0H3PT27_ECO5C	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
A0A0H3PSK9	A0A0H3PSK9_ECO5C	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	bacA	unreviewed
A0A0H3PUR0	A0A0H3PUR0_ECO5C	Multidrug resistance protein MdtL	mdtL	unreviewed
A0A0H3PWF0	A0A0H3PWF0_ECO5C	Beta-lactamase (EC 3.5.2.6)	ampC	unreviewed
A0A0H3PU08	A0A0H3PU08_ECO5C	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)	mrcA	unreviewed
A0A0H3PTD1	A0A0H3PTD1_ECO5C	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
A0A0H3PNL6	A0A0H3PNL6_ECO5C	Macrolide-specific ABC-type efflux carrier protein MacB	macB	unreviewed
A0A0H3PP71	A0A0H3PP71_ECO5C	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
A0A0H3PLH8	A0A0H3PLH8_ECO5C	Multiple antibiotic resistance protein MarA	marA	unreviewed
A0A0H3PNL0	A0A0H3PNL0_ECO5C	Tetracycline resistance protein, class B		unreviewed
A0A0H3PHD9	A0A0H3PHD9_ECO5C	Multidrug resistance protein MdtH	mdtH	unreviewed
A0A0H3PJW1	A0A0H3PJW1_ECO5C	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95)	strA	unreviewed
