Entry	Entry name	Protein names	Gene names  (primary )	Status
A0A1X3J4S2	A0A1X3J4S2_ECOLX	Macrolide export ATP-binding/permease protein MacB		unreviewed
A0A1X3IVM0	A0A1X3IVM0_ECOLX	Multidrug resistance protein MdtL	mdtL	unreviewed
A0A1X3J0M1	A0A1X3J0M1_ECOLX	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
A0A1X3J1C0	A0A1X3J1C0_ECOLX	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
A0A1X3J229	A0A1X3J229_ECOLX	Multiple antibiotic resistance protein MarA		unreviewed
A0A1X3IUR3	A0A1X3IUR3_ECOLX	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)		unreviewed
A0A1X3IXS8	A0A1X3IXS8_ECOLX	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	unreviewed
A0A1X3J426	A0A1X3J426_ECOLX	Multidrug resistance protein MdtG	mdtG	unreviewed
A0A1X3J4D4	A0A1X3J4D4_ECOLX	Multidrug resistance protein MdtH	mdtH	unreviewed
A0A1X3J0B7	A0A1X3J0B7_ECOLX	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
A0A1X3J408	A0A1X3J408_ECOLX	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
A0A1X3J0W9	A0A1X3J0W9_ECOLX	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
A0A1X3J2J3	A0A1X3J2J3_ECOLX	Multiple antibiotic resistance protein MarR		unreviewed
A0A1X3J6W0	A0A1X3J6W0_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
