Entry	Entry name	Protein names	Gene names  (primary )	Status
U9ZTP4	U9ZTP4_ECOLX	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
V0A8R4	V0A8R4_ECOLX	Aminoglycoside/hydroxyurea antibiotic resistance kinase		unreviewed
V0ACY1	V0ACY1_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
V0ACQ9	V0ACQ9_ECOLX	Multidrug resistance protein MdtG	mdtG	unreviewed
V0AMW4	V0AMW4_ECOLX	Putative multiple antibiotic resistance protein MarB		unreviewed
V0ANF9	V0ANF9_ECOLX	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95)		unreviewed
V0A6Q7	V0A6Q7_ECOLX	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
V0A7M3	V0A7M3_ECOLX	Multidrug resistance protein MdtL	mdtL	unreviewed
V0AKS9	V0AKS9_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
U9ZLH0	U9ZLH0_ECOLX	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	unreviewed
U9ZWY9	U9ZWY9_ECOLX	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
V0AYV9	V0AYV9_ECOLX	Multiple antibiotic resistance protein MarA		unreviewed
V0A7V9	V0A7V9_ECOLX	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
V0AZH4	V0AZH4_ECOLX	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)		unreviewed
V0ANG1	V0ANG1_ECOLX	Transporter, major facilitator family protein		unreviewed
V0AEX1	V0AEX1_ECOLX	Macrolide export ATP-binding/permease protein MacB		unreviewed
V0AI64	V0AI64_ECOLX	Multidrug resistance protein MdtH	mdtH	unreviewed
V0AJ74	V0AJ74_ECOLX	Multiple antibiotic resistance protein MarR		unreviewed
U9ZYJ1	U9ZYJ1_ECOLX	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
V0ACD1	V0ACD1_ECOLX	Transcriptional regulator, TetR family		unreviewed
