Entry	Entry name	Protein names	Gene names  (primary )	Status
M9GBA3	M9GBA3_ECOLX	Multidrug resistance protein MdtG	mdtG	unreviewed
M9FUE5	M9FUE5_ECOLX	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
M9H3F2	M9H3F2_ECOLX	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	unreviewed
M9GZG4	M9GZG4_ECOLX	Multiple antibiotic resistance protein marA	marA	unreviewed
M9FWI6	M9FWI6_ECOLX	Macrolide export ATP-binding/permease protein MacB (EC 3.6.3.-)	macB	unreviewed
M9HA70	M9HA70_ECOLX	Multidrug resistance protein MdtH	mdtH	unreviewed
M9H7L5	M9H7L5_ECOLX	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
M9H596	M9H596_ECOLX	Multiple antibiotic resistance protein marR	marR	unreviewed
M9GVZ0	M9GVZ0_ECOLX	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)	mrcA	unreviewed
M9G1G0	M9G1G0_ECOLX	Beta-lactamase (EC 3.5.2.6)	ampC	unreviewed
M9G8L6	M9G8L6_ECOLX	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
M9GCF8	M9GCF8_ECOLX	Beta-lactamase (EC 3.5.2.6)	bla	unreviewed
M9GG98	M9GG98_ECOLX	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
M9H1T8	M9H1T8_ECOLX	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
M9FMI1	M9FMI1_ECOLX	Multidrug resistance protein MdtL	mdtL	unreviewed
