Entry	Entry name	Protein names	Gene names  (primary )	Status
B1LLK8	ARNC_ECOSM	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	reviewed
B1LLK7	ARNB_ECOSM	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	reviewed
B1LLL0	ARND_ECOSM	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	reviewed
B1LLK9	ARNA_ECOSM	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	reviewed
B1LIV8	MDTG_ECOSM	Multidrug resistance protein MdtG	mdtG	reviewed
B1LL36	MDTL_ECOSM	Multidrug resistance protein MdtL	mdtL	reviewed
B1LIU5	MDTH_ECOSM	Multidrug resistance protein MdtH	mdtH	reviewed
B1LRV3	B1LRV3_ECOSM	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95)	strA	unreviewed
B1LF83	B1LF83_ECOSM	Multiple antibiotic resistance protein MarR	marR	unreviewed
B1LF81	B1LF81_ECOSM	Multiple antibiotic resistance protein MarB	marB	unreviewed
B1LRV5	B1LRV5_ECOSM	Beta-lactamase (EC 3.5.2.6)	blaT	unreviewed
B1LQH3	B1LQH3_ECOSM	Beta-lactamase (EC 3.5.2.6)	ampC	unreviewed
B1LRU3	B1LRU3_ECOSM	Chloramphenicol acetyltransferase (EC 2.3.1.28)	cmlA	unreviewed
B1LM53	B1LM53_ECOSM	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
B1LRV9	B1LRV9_ECOSM	Aminoglycoside (3'') (9) adenylyltransferase (EC 2.7.7.47)	aadA	unreviewed
B1LRX5	B1LRX5_ECOSM	Tetracycline repressor protein, class A	tetR	unreviewed
B1LRX6	B1LRX6_ECOSM	Tetracycline resistance protein, class A	tetA	unreviewed
B1LF49	B1LF49_ECOSM	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	bacA	unreviewed
B1LHJ2	B1LHJ2_ECOSM	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)	mrcA	unreviewed
B1LF82	B1LF82_ECOSM	Multiple antibiotic resistance protein MarA	marA	unreviewed
B1LRY0	B1LRY0_ECOSM	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95)		unreviewed
B1LKN1	B1LKN1_ECOSM	Macrolide-specific ABC-type efflux carrier protein MacB	macB	unreviewed
