"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","label","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.8","0.0010822510822510823","0.5555555555555556","0.6","5","2","false","uppP","","Unclustered","2.1999999999999997","uppP","18.4","0","5","0","0.9666666666666667","false","0","uppP","8","0.736"
"1.8","5.555555555555556E-4","0.5555555555555556","0.8","5","2","false","ampC","","Unclustered","4.0","ampC","20.2","0","5","0","0.9666666666666667","false","0","ampC","4","0.808"
"1.12","0.02467526917526917","0.8928571428571428","0.7878787878787878","22","2","false","gyrA","Cluster 0","Clustered","16.900584795321638","gyrA","18.954545454545453","0","22","0","0.995","false","0","gyrA","98","0.7581818181818182"
"1.12","0.011167332667332667","0.8928571428571428","0.8571428571428571","22","2","false","nusG","Cluster 0","Seed","17.810526315789474","nusG","19.727272727272727","0","22","0","0.995","false","0","nusG","66","0.7890909090909091"
"1.2","0.005048285048285048","0.8333333333333334","0.9052631578947369","20","2","false","rplL","Cluster 0","Clustered","16.900584795321638","rplL","20.35","0","20","0","0.9916666666666667","false","0","rplL","36","0.814"
"1.16","0.014916971916971918","0.8620689655172414","0.8761904761904762","21","2","false","rpsL","Cluster 0","Clustered","17.810526315789474","rpsL","19.904761904761905","0","21","0","0.9933333333333333","false","0","rpsL","52","0.7961904761904762"
"1.24","3.2539682539682536E-4","0.8064516129032259","0.9883040935672515","19","2","false","rplB","Cluster 0","Clustered","17.810526315789474","rplB","21.05263157894737","0","19","0","0.9900000000000001","false","0","rplB","4","0.8421052631578947"
"1.24","3.2539682539682536E-4","0.8064516129032259","0.9883040935672515","19","2","false","rpsS","Cluster 0","Clustered","17.810526315789474","rpsS","21.05263157894737","0","19","0","0.9900000000000001","false","0","rpsS","4","0.8421052631578947"
"1.2","0.014380952380952387","0.8333333333333334","0.9","20","2","false","rplP","Cluster 0","Clustered","17.810526315789474","rplP","20.2","0","20","0","0.9916666666666667","false","0","rplP","38","0.808"
"1.2","0.014380952380952387","0.8333333333333334","0.9","20","2","false","rpsH","Cluster 0","Clustered","17.810526315789474","rpsH","20.2","0","20","0","0.9916666666666667","false","0","rpsH","38","0.808"
